Model,Brand,Year,Price,Mileage,Transmission
Toyota Hilux,Toyota,2022,"120,000","30,920 km",Automatic
Perodua Myvi,Perodua,2019,"44,800","93,277 km",Automatic
Honda HR-V,Honda,2017,"58,000","125,142 km",Automatic
Toyota Vios,Toyota,2017,"49,800","92,403 km",Automatic
Perodua Bezza,Perodua,2017,"31,800","107,435 km",Automatic
Honda Jazz,Honda,2016,"49,900","135,411 km",Automatic
Toyota Yaris,Toyota,2021,"61,800","50,850 km",Automatic
Honda Civic,Honda,2022,"105,800","41,040 km",Automatic
Honda Jazz,Honda,2019,"56,900","90,781 km",Automatic
Nissan X-Trail,Nissan,2015,"37,700","89,720 km",Automatic
Toyota Vios,Toyota,2016,"50,300","116,495 km",Automatic
Proton Saga,Proton,2018,"25,800","69,032 km",Automatic
Toyota Vios,Toyota,2018,"54,800","102,904 km",Automatic
Perodua Bezza,Perodua,2016,"34,000","133,815 km",Automatic
Perodua Myvi,Perodua,2020,"45,000","73,901 km",Automatic
Nissan Serena,Nissan,2018,"81,800","105,166 km",Automatic
Toyota Yaris,Toyota,2006,"22,000","172,670 km",Automatic
Perodua AXIA,Perodua,2019,"28,800","105,864 km",Automatic
Honda Civic,Honda,2016,"44,200","173,066 km",Automatic
Perodua Myvi,Perodua,2020,"45,900","73,914 km",Automatic
Peugeot 3008,Peugeot,2018,"63,100","72,994 km",Automatic
Volkswagen Tiguan,Volkswagen,2018,"75,900","75,763 km",Automatic
Honda HR-V,Honda,2018,"68,300","69,393 km",Automatic
Proton Saga,Proton,2017,"22,500","133,062 km",Automatic
Proton Saga,Proton,2019,"26,500","59,174 km",Automatic
Mercedes-Benz A250,Mercedes-Benz,2019,"165,900","53,345 km",Automatic
BMW 630i,BMW,2019,"181,200","55,536 km",Automatic
Perodua Myvi,Perodua,2017,"31,800","98,265 km",Automatic
Perodua Myvi,Perodua,2018,"39,800","113,639 km",Automatic
Toyota Vios,Toyota,2017,"49,000","109,516 km",Automatic
Perodua Myvi,Perodua,2020,"45,000","41,740 km",Automatic
Mitsubishi Outlander,Mitsubishi,2018,"76,900","86,782 km",Automatic
Nissan Almera,Nissan,2018,"39,900","85,810 km",Automatic
Toyota Yaris,Toyota,2020,"62,300","53,778 km",Automatic
Honda Civic,Honda,2016,"75,900","87,725 km",Automatic
Mazda Biante,Mazda,2014,"45,900","93,338 km",Automatic
Nissan Almera,Nissan,2022,"65,100","39,921 km",Automatic
Perodua Myvi,Perodua,2019,"42,800","89,391 km",Automatic
Perodua Myvi,Perodua,2019,"44,800","85,194 km",Automatic
Perodua Myvi,Perodua,2017,"35,800","137,481 km",Automatic
Perodua AXIA,Perodua,2019,"28,100","102,682 km",Automatic
Honda City,Honda,2022,"73,900","38,547 km",Automatic
Proton Persona,Proton,2019,"32,800","94,695 km",Automatic
Perodua Myvi,Perodua,2018,"42,800","106,486 km",Automatic
Honda HR-V,Honda,2015,"43,200","115,279 km",Automatic
Perodua Myvi,Perodua,2019,"36,800","100,918 km",Automatic
Proton Saga,Proton,2019,"26,500","73,427 km",Automatic
Toyota Yaris,Toyota,2020,"59,800","56,621 km",Automatic
Mercedes-Benz GLC200,Mercedes-Benz,2020,"206,700","44,544 km",Automatic
Proton Saga,Proton,2019,"26,500","56,670 km",Automatic
Honda City,Honda,2017,"50,800","120,750 km",Automatic
Perodua Aruz,Perodua,2019,"52,800","90,028 km",Automatic
Perodua Aruz,Perodua,2019,"52,800","71,065 km",Automatic
Perodua Myvi,Perodua,2018,"43,800","66,526 km",Automatic
Honda HR-V,Honda,2015,"43,900","130,040 km",Automatic
Toyota Yaris,Toyota,2020,"62,300","73,976 km",Automatic
Perodua Myvi,Perodua,2020,"38,800","64,186 km",Automatic
Honda HR-V,Honda,2015,"43,200","159,913 km",Automatic
Proton X70,Proton,2021,"75,300","48,431 km",Automatic
Nissan Almera,Nissan,2014,"19,800","85,198 km",Automatic
Toyota Vios,Toyota,2017,"49,000","123,989 km",Automatic
Perodua Myvi,Perodua,2018,"42,800","71,088 km",Automatic
Toyota Hilux,Toyota,2023,"90,400","14,867 km",Manual
Honda Civic,Honda,2016,"74,900","127,008 km",Automatic
Toyota Vios,Toyota,2018,"54,700","100,308 km",Automatic
Proton Iriz,Proton,2020,"32,800","43,763 km",Automatic
Perodua Myvi,Perodua,2018,"42,800","47,080 km",Automatic
Perodua Myvi,Perodua,2019,"44,800","99,007 km",Automatic
Proton Saga,Proton,2019,"26,800","91,692 km",Automatic
Perodua Bezza,Perodua,2016,"30,100","122,056 km",Automatic
Nissan Almera,Nissan,2018,"39,400","108,139 km",Automatic
Nissan Serena,Nissan,2019,"86,000","87,820 km",Automatic
BMW 330e,BMW,2021,"168,000","42,978 km",Automatic
Nissan X-Trail,Nissan,2015,"38,800","102,069 km",Automatic
Perodua Bezza,Perodua,2017,"34,800","104,433 km",Automatic
Perodua Bezza,Perodua,2016,"30,100","87,197 km",Automatic
Honda City,Honda,2023,"76,900","22,905 km",Automatic
Nissan Almera,Nissan,2017,"33,900","91,978 km",Automatic
Perodua Bezza,Perodua,2016,"32,500","123,207 km",Automatic
Honda Jazz,Honda,2015,"41,800","169,028 km",Automatic
Perodua Bezza,Perodua,2016,"30,800","136,894 km",Automatic
Honda BR-V,Honda,2017,"47,800","124,705 km",Automatic
Honda HR-V,Honda,2023,"118,600","4,048 km",Automatic
Toyota Corolla,Toyota,2022,"107,500","26,520 km",Automatic
Honda City,Honda,2019,"57,800","96,898 km",Automatic
Perodua Myvi,Perodua,2018,"39,800","103,791 km",Automatic
Proton Persona,Proton,2018,"31,000","100,981 km",Automatic
Volkswagen Polo,Volkswagen,2011,"17,000","175,272 km",Automatic
Perodua Myvi,Perodua,2020,"45,900","77,195 km",Automatic
Toyota Corolla,Toyota,2022,"111,000","38,662 km",Automatic
Proton Saga,Proton,2018,"23,700","99,973 km",Automatic
Perodua Myvi,Perodua,2016,"33,500","138,092 km",Automatic
Perodua Myvi,Perodua,2019,"44,800","63,844 km",Automatic
Honda City,Honda,2015,"37,200","131,009 km",Automatic
Toyota Vios,Toyota,2017,"45,800","128,903 km",Automatic
Honda Jazz,Honda,2015,"41,800","100,693 km",Automatic
Volkswagen Beetle,Volkswagen,2013,"47,400","58,066 km",Automatic
Proton Preve,Proton,2017,"26,000","127,227 km",Automatic
Honda Civic,Honda,2016,"78,900","129,717 km",Automatic
Perodua AXIA,Perodua,2017,"26,600","96,497 km",Automatic
Toyota C-HR,Toyota,2018,"95,000","112,272 km",Automatic
Perodua Aruz,Perodua,2020,"56,900","64,566 km",Automatic
Nissan Almera,Nissan,2016,"32,000","71,796 km",Automatic
Perodua Myvi,Perodua,2018,"43,500","78,762 km",Automatic
Perodua Myvi,Perodua,2020,"46,800","73,766 km",Automatic
MINI 3,MINI,2017,"118,000","47,629 km",Automatic
Perodua AXIA,Perodua,2017,"28,600","99,640 km",Automatic
Honda City,Honda,2017,"51,200","120,678 km",Automatic
Toyota Yaris,Toyota,2020,"60,000","39,701 km",Automatic
Honda Jazz,Honda,2017,"53,900","92,561 km",Automatic
Proton Saga,Proton,2017,"24,000","110,638 km",Automatic
Hyundai Tucson,Hyundai,2019,"59,500","89,554 km",Automatic
Proton X50,Proton,2022,"76,800","30,384 km",Automatic
Perodua Bezza,Perodua,2017,"34,800","138,744 km",Automatic
Perodua Myvi,Perodua,2018,"43,500","80,118 km",Automatic
Proton Iriz,Proton,2023,"49,000","10,037 km",Automatic
Perodua Myvi,Perodua,2019,"46,000","71,382 km",Automatic
Honda Civic,Honda,2019,"92,400","65,670 km",Automatic
Toyota Yaris,Toyota,2023,"75,900","20,825 km",Automatic
Proton Persona,Proton,2020,"34,200","66,651 km",Automatic
Proton Persona,Proton,2016,"24,800","134,524 km",Automatic
Honda HR-V,Honda,2017,"59,800","130,179 km",Automatic
Perodua Myvi,Perodua,2018,"43,500","69,500 km",Automatic
Honda CR-V,Honda,2018,"94,800","99,743 km",Automatic
Perodua Bezza,Perodua,2022,"42,400","22,953 km",Automatic
Perodua Myvi,Perodua,2019,"43,200","83,154 km",Automatic
Perodua Bezza,Perodua,2017,"34,800","106,300 km",Automatic
Honda City,Honda,2019,"58,000","72,830 km",Automatic
Toyota Estima,Toyota,2010,"55,300","116,416 km",Automatic
Perodua Myvi,Perodua,2014,"21,800","173,059 km",Automatic
Perodua Bezza,Perodua,2016,"30,100","130,367 km",Automatic
Proton Preve,Proton,2018,"32,000","86,768 km",Automatic
Honda Civic,Honda,2013,"29,900","127,620 km",Automatic
Honda HR-V,Honda,2016,"47,500","128,909 km",Automatic
Perodua AXIA,Perodua,2018,"31,100","70,787 km",Automatic
Toyota C-HR,Toyota,2018,"94,800","69,659 km",Automatic
Honda Odyssey,Honda,2017,"118,400","83,802 km",Automatic
Toyota Yaris,Toyota,2019,"62,900","84,466 km",Automatic
Proton Saga,Proton,2017,"24,000","123,222 km",Automatic
Perodua Myvi,Perodua,2020,"46,800","68,949 km",Automatic
Perodua Ativa,Perodua,2021,"59,800","52,414 km",Automatic
Honda HR-V,Honda,2023,"116,000","18,881 km",Automatic
Perodua Bezza,Perodua,2018,"32,900","110,345 km",Automatic
Nissan X-Trail,Nissan,2017,"54,400","138,798 km",Automatic
Toyota Vios,Toyota,2018,"56,800","105,855 km",Automatic
Subaru XV,Subaru,2022,"112,400","25,242 km",Automatic
Perodua Myvi,Perodua,2017,"35,800","124,309 km",Automatic
Honda HR-V,Honda,2019,"69,900","91,791 km",Automatic
Honda Jazz,Honda,2019,"62,000","43,176 km",Automatic
Proton Persona,Proton,2018,"31,000","80,058 km",Automatic
Mazda CX-5,Mazda,2019,"96,900","109,152 km",Automatic
Toyota Vios,Toyota,2016,"50,300","116,353 km",Automatic
Perodua Bezza,Perodua,2016,"32,800","121,129 km",Automatic
Perodua Myvi,Perodua,2021,"40,000","65,234 km",Automatic
Proton Saga,Proton,2017,"24,000","92,499 km",Automatic
Perodua Myvi,Perodua,2015,"30,000","81,170 km",Automatic
Nissan Grand,Nissan,2013,"22,500","198,978 km",Automatic
Honda Civic,Honda,2020,"98,000","75,724 km",Automatic
Honda Jazz,Honda,2019,"62,000","92,317 km",Automatic
Proton Saga,Proton,2019,"27,800","81,180 km",Automatic
Nissan X-Trail,Nissan,2018,"65,000","107,812 km",Automatic
Proton Persona,Proton,2020,"38,000","61,674 km",Automatic
Perodua Myvi,Perodua,2021,"49,000","51,298 km",Automatic
Perodua Myvi,Perodua,2020,"46,800","57,126 km",Automatic
Honda HR-V,Honda,2016,"47,500","111,988 km",Automatic
