Model,Brand,Year,Price,Mileage,Transmission
Proton X50,Proton,2021,83800,42742,Automatic
Perodua Myvi,Perodua,2021,50800,50141,Automatic
Toyota Vios,Toyota,2023,79800,25435,Automatic
Perodua Bezza,Perodua,2017,36400,122164,Automatic
Perodua Bezza,Perodua,2018,40400,74869,Automatic
Honda City,Honda,2016,42900,108124,Automatic
Toyota Yaris,Toyota,2019,58800,72892,Automatic
Perodua Bezza,Perodua,2019,38900,78000,Automatic
Toyota Vios,Toyota,2017,55600,115523,Automatic
Perodua Myvi,Perodua,2018,45900,82835,Automatic
Proton Saga,Proton,2017,26800,79110,Automatic
Perodua Myvi,Perodua,2020,46900,56335,Automatic
Proton X50,Proton,2022,74300,22480,Automatic
Honda HR-V,Honda,2016,45900,136725,Automatic
Daihatsu Gran,Daihatsu,2019,49000,155820,Automatic
Honda City,Honda,2017,58400,127825,Automatic
Nissan Almera,Nissan,2018,39400,109201,Automatic
Honda City,Honda,2022,78400,33341,Automatic
Perodua Myvi,Perodua,2019,44400,96589,Automatic
Toyota Yaris,Toyota,2020,68400,65220,Automatic
Honda Civic,Honda,2023,119800,19436,Automatic
Mazda CX-5,Mazda,2021,120000,55138,Automatic
Toyota Vios,Toyota,2019,63000,80456,Automatic
Toyota Yaris,Toyota,2022,74400,34552,Automatic
Proton Persona,Proton,2018,25900,75565,Automatic
Mazda CX-5,Mazda,2018,92800,99820,Automatic
Mercedes-Benz GLA200,Mercedes-Benz,2022,185800,20588,Automatic
Mazda CX-5,Mazda,2020,105800,36053,Automatic
Perodua Myvi,Perodua,2018,42400,94159,Automatic
Mazda CX-5,Mazda,2020,105800,59846,Automatic
Perodua Myvi,Perodua,2020,49000,42900,Automatic
