Model,Brand,Year,Price,Mileage,Transmission
Honda City,Honda,2005,"10,800",105 - 110K KM,Automatic
MINI Countryman,MINI,2023,"208,888",35 - 40K KM,Automatic
BMW 320i,BMW,2020,"148,000",50 - 55K KM,Automatic
Nissan Almera,Nissan,2017,"32,500",120 - 125K KM,Automatic
Toyota Vios,Toyota,2017,"52,000",105 - 110K KM,Automatic
Honda City,Honda,2008,"12,800",105 - 110K KM,Automatic
BMW X1,BMW,2022,"155,800",50 - 55K KM,Automatic
BMW 330i,BMW,2024,"258,800",10 - 15K KM,Automatic
MINI Countryman,MINI,2024,"228,888",0 - 5K KM,Automatic
Perodua AXIA,Perodua,2016,"27,400",71131 KM,Automatic
BMW 528i,BMW,2016,"125,000",49000 KM,Automatic
Audi S4,Audi,2009,"72,000",125 - 130K KM,Automatic
Perodua Myvi,Perodua,2016,"34,000",130 - 135K KM,Automatic
Perodua AXIA,Perodua,2018,"28,900",85 - 90K KM,Automatic
Perodua Bezza,Perodua,2017,"32,000",85 - 90K KM,Automatic
Perodua AXIA,Perodua,2017,"22,000",140 - 145K KM,Automatic
Honda Jazz,Honda,2013,"33,400",125424 KM,Automatic
Perodua Myvi,Perodua,2012,"22,900",120 - 125K KM,Automatic
Proton Saga,Proton,2019,"25,800",40 - 45K KM,Automatic
BMW 330i,BMW,2024,"265,800",10 - 15K KM,Automatic
Mazda CX-5,Mazda,2016,"50,000",65 - 70K KM,Automatic
BMW X5,BMW,2020,"262,800",55 - 60K KM,Automatic
Perodua Alza,Perodua,2012,"19,300",105 - 110K KM,Automatic
Porsche Macan,Porsche,2015,"175,000",110 - 115K KM,Automatic
BMW 530i,BMW,2019,"175,000",65 - 70K KM,Automatic
Porsche Macan,Porsche,2015,"175,000",110 - 115K KM,Automatic
BMW 530i,BMW,2019,"175,000",65 - 70K KM,Automatic
Peugeot 208,Peugeot,2014,"19,000",115 - 120K KM,Automatic
Mazda 3,Mazda,2012,"56,800",80 - 85K KM,Manual
Honda Civic,Honda,2021,"83,888",55 - 60K KM,Automatic
Honda Civic,Honda,2015,"32,888",60 - 65K KM,Automatic
Toyota Yaris,Toyota,2024,"69,888",0 - 5K KM,Automatic
Honda HR-V,Honda,2019,"58,888",50 - 55K KM,Automatic
Porsche 911,Porsche,2019,"688,000",25 - 30K KM,Automatic
Mazda CX-5,Mazda,2015,"46,800",95 - 100K KM,Automatic
Mercedes-Benz E250 CGI,Mercedes-Benz,2011,"43,800",135 - 140K KM,Automatic
Perodua Myvi,Perodua,2018,"35,400",132416 KM,Automatic
Mercedes-Benz E250,Mercedes-Benz,2014/2017,"118,800",105 - 110K KM,Automatic
Proton Exora,Proton,2018,"25,800",65 - 70K KM,Automatic
Volkswagen Scirocco,Volkswagen,2012,"37,800",95 - 100K KM,Automatic
Honda Jazz,Honda,2018,"63,800",135 - 140K KM,Automatic
Honda Jazz,Honda,2016,"43,800",80 - 85K KM,Automatic
BMW 330e,BMW,2019,"71,800",60 - 65K KM,Automatic
BMW X5,BMW,2019,"98,800",65 - 70K KM,Automatic
Mazda 3,Mazda,2016,"46,800",75 - 80K KM,Automatic
Perodua Myvi,Perodua,2017,"37,800",100 - 105K KM,Automatic
Honda HR-V,Honda,2017,"49,800",125 - 130K KM,Automatic
Smart Forfour,Smart,2005,"10,850",165 - 170K KM,Automatic
Perodua Myvi,Perodua,2018,"40,800",85 - 90K KM,Automatic
Honda CR-V,Honda,2020,"93,800",115 - 120K KM,Automatic
Mercedes-Benz E250 CGI,Mercedes-Benz,2012,"49,800",115 - 120K KM,Automatic
Honda City,Honda,2017,"52,800",95 - 100K KM,Automatic
Honda City,Honda,2024,"71,800",0 - 5K KM,Automatic
Toyota Estima,Toyota,2009,"55,800",100 - 105K KM,Automatic
Honda Civic,Honda,2015,"42,800",110 - 115K KM,Automatic
Honda Civic,Honda,2020,"95,800",110 - 115K KM,Automatic
Honda Civic,Honda,2018,"89,800",155 - 160K KM,Automatic
Perodua Myvi,Perodua,2017,"37,800",115 - 120K KM,Automatic
Honda CR-V,Honda,2018,"79,800",75 - 80K KM,Automatic
Honda City,Honda,2015,"31,888",85 - 90K KM,Automatic
BMW 318i,BMW,2017,"51,888",75 - 80K KM,Automatic
Mitsubishi Triton,Mitsubishi,2022,"90,888",25 - 30K KM,Automatic
Nissan Serena,Nissan,2021,"81,888",55 - 60K KM,Automatic
BMW X5,BMW,2020,"253,888",40 - 45K KM,Automatic
Perodua Bezza,Perodua,2021,"37,888",60 - 65K KM,Automatic
Toyota Vios,Toyota,2009,"18,888",90 - 95K KM,Automatic
Toyota Harrier,Toyota,2017,"87,888",70 - 75K KM,Automatic
Toyota Vios,Toyota,2009,"18,888",90 - 95K KM,Automatic
Toyota Harrier,Toyota,2017,"87,888",70 - 75K KM,Automatic
Mitsubishi Triton,Mitsubishi,2016,"50,888",45 - 50K KM,Manual
Nissan Almera,Nissan,2020,"57,888",40 - 45K KM,Automatic
Honda Accord,Honda,2016,"47,888",70 - 75K KM,Automatic
Toyota Yaris,Toyota,2022,"65,888",30 - 35K KM,Automatic
Honda City,Honda,2016,"37,888",80 - 85K KM,Automatic
Nissan Serena,Nissan,2018,"79,800",130 - 135K KM,Automatic
Proton Persona,Proton,2015,"11,800",160 - 165K KM,Automatic
Proton Persona,Proton,2023,"47,400",13225 KM,Automatic
BMW X1,BMW,2021,"129,000",75 - 80K KM,Automatic
Perodua Myvi,Perodua,2019,"43,000",101462 KM,Automatic
Proton Ertiga,Proton,2017,"31,200",108724 KM,Automatic
Perodua Myvi,Perodua,2019,"45,800",68446 KM,Automatic
Toyota Vellfire,Toyota,2016,"179,999",55 - 60K KM,Automatic
Nissan Grand Livina,Nissan,2015,"34,788",155 - 160K KM,Automatic
Audi Q7,Audi,2011,"49,788",130 - 135K KM,Automatic
Mazda 3,Mazda,2013,"28,788",180 - 185K KM,Automatic
Mercedes-Benz E250 CGI,Mercedes-Benz,2012/2014,"42,788",105 - 110K KM,Automatic
Mazda CX-5,Mazda,2018,"79,688",70 - 75K KM,Automatic
Lexus RX270,Lexus,2014,"86,888",85 - 90K KM,Automatic
Honda Civic,Honda,2017,"79,800",105 - 110K KM,Automatic
Toyota Vellfire,Toyota,2015,"155,800",100 - 105K KM,Automatic
Toyota Vios,Toyota,2013,"29,800",120 - 125K KM,Automatic
Honda Civic,Honda,2017,"79,800",105 - 110K KM,Automatic
Toyota Vellfire,Toyota,2015,"155,800",100 - 105K KM,Automatic
Toyota Vios,Toyota,2013,"29,800",120 - 125K KM,Automatic
Honda City,Honda,2010,"20,800",170 - 175K KM,Automatic
Ford Ranger,Ford,2016,"42,800",115 - 120K KM,Automatic
BMW X1,BMW,2016,"39,800",80 - 85K KM,Automatic
Toyota Hilux,Toyota,2020,"98,800",65 - 70K KM,Automatic
Toyota Hilux,Toyota,2021,"99,800",50 - 55K KM,Automatic
Honda Jazz,Honda,2015,"40,888",80 - 85K KM,Automatic
